0,1,2
0.5346628,1.0,1.0
0.53151625,1.0,37.0
0.4888752,1.0,50.0
0.5296883,1.0,54.0
0.616359,1.0,59.0
0.6504468,1.0,61.0
0.4567087,1.0,65.0
0.32056725,1.0,92.0
0.5182673,1.0,120.0
0.71749496,1.0,159.0
0.49489853,1.0,163.0
0.6722481,1.0,174.0
0.8103947,1.0,236.0
0.6592774,1.0,240.0
0.5025063,1.0,252.0
0.8175574,1.0,253.0
0.59864074,1.0,269.0
0.781815,1.0,336.0
0.49323568,1.0,339.0
0.747246,1.0,350.0
0.6210462,1.0,364.0
0.53621376,2.0,1.0
0.66948146,2.0,41.0
0.49043328,2.0,50.0
0.73874056,2.0,63.0
0.52056676,2.0,68.0
0.52372575,2.0,76.0
0.70095056,2.0,93.0
0.5266282,2.0,95.0
0.3609968,2.0,97.0
0.5230421,2.0,126.0
0.56331235,2.0,142.0
0.54112494,2.0,147.0
0.7476717,2.0,156.0
0.4964571,2.0,163.0
0.704426,2.0,171.0
0.6218417,2.0,200.0
0.5027326,2.0,219.0
0.811351,2.0,236.0
0.8184855,2.0,253.0
0.75744534,2.0,307.0
0.7105572,2.0,332.0
0.62251246,2.0,364.0
0.37160718,2.0,377.0
0.80924016,2.0,378.0
0.7389268,2.0,381.0
0.510668,3.0,1.0
0.40095863,3.0,32.0
0.46488237,3.0,50.0
0.59337294,3.0,59.0
0.6282714,3.0,61.0
0.4329573,3.0,65.0
0.49497095,3.0,68.0
0.67904747,3.0,93.0
0.5010458,3.0,95.0
0.49745077,3.0,126.0
0.6975954,3.0,159.0
0.795171,3.0,236.0
0.63734984,3.0,240.0
0.769141,3.0,271.0
0.55435705,3.0,274.0
0.6737946,3.0,304.0
0.36914682,3.0,376.0
0.58585554,4.0,2.0
0.6566435,4.0,59.0
0.56822884,4.0,95.0
0.8357345,4.0,236.0
0.53790116,4.0,239.0
0.52933323,4.0,328.0
0.5946215,4.0,353.0
0.6794694,5.0,2.0
0.55719227,5.0,16.0
0.71330315,5.0,43.0
0.6304667,5.0,50.0
0.7413215,5.0,59.0
0.80601466,5.0,93.0
0.5003627,5.0,97.0
0.6169059,5.0,108.0
0.6921828,5.0,145.0
0.6360636,5.0,163.0
0.72692823,5.0,169.0
0.8086025,5.0,171.0
0.80566925,5.0,176.0
0.5243879,5.0,191.0
0.8112815,5.0,193.0
0.7129764,5.0,197.0
0.75410783,5.0,202.0
0.5445427,5.0,216.0
0.6418544,5.0,219.0
0.70646644,5.0,220.0
0.73189557,5.0,227.0
0.6366285,5.0,229.0
0.6648279,5.0,232.0
0.88404477,5.0,236.0
0.8888069,5.0,253.0
0.84412646,5.0,255.0
0.656513,5.0,257.0
0.80690485,5.0,261.0
0.867426,5.0,271.0
0.5556325,5.0,275.0
0.8869825,5.0,282.0
0.7943086,5.0,302.0
0.8022347,5.0,304.0
0.59902513,5.0,321.0
0.74250686,5.0,341.0
0.6873115,5.0,353.0
0.6901012,5.0,354.0
0.74511325,5.0,364.0
0.53470486,5.0,376.0
0.684207,6.0,2.0
0.56257373,6.0,16.0
0.63684434,6.0,26.0
0.8436134,6.0,35.0
0.7177485,6.0,43.0
0.6355401,6.0,50.0
0.74548733,6.0,59.0
0.7723395,6.0,61.0
0.62896717,6.0,64.0
0.820429,6.0,87.0
0.6220539,6.0,108.0
0.7441635,6.0,123.0
0.72003734,6.0,135.0
0.64110386,6.0,163.0
0.8119596,6.0,171.0
0.71408516,6.0,198.0
0.64685893,6.0,219.0
0.7109747,6.0,220.0
0.64166546,6.0,229.0
0.6639585,6.0,237.0
0.890947,6.0,253.0
0.77100617,6.0,260.0
0.8102848,6.0,261.0
0.7135016,6.0,264.0
0.6091188,6.0,279.0
0.8891535,6.0,282.0
0.7508805,6.0,288.0
0.7978538,6.0,302.0
0.8498028,6.0,307.0
0.7356336,6.0,310.0
0.6042593,6.0,321.0
0.76628083,6.0,323.0
0.63269204,6.0,328.0
0.7466602,6.0,341.0
0.9281863,6.0,342.0
0.6919857,6.0,353.0
0.6373614,6.0,355.0
0.51724374,6.0,377.0
0.7369663,7.0,3.0
0.61886966,7.0,11.0
0.5036134,7.0,33.0
0.68297863,7.0,41.0
0.50584525,7.0,50.0
0.62067974,7.0,53.0
0.63228005,7.0,59.0
0.6657204,7.0,61.0
0.7504636,7.0,63.0
0.33553016,7.0,92.0
0.71371216,7.0,93.0
0.632133,7.0,110.0
0.71300447,7.0,119.0
0.5351893,7.0,120.0
0.57841486,7.0,142.0
0.57432187,7.0,145.0
0.7310503,7.0,159.0
0.7427897,7.0,186.0
0.39814305,7.0,191.0
0.5181381,7.0,219.0
0.82060707,7.0,236.0
0.7283074,7.0,247.0
0.827466,7.0,253.0
0.7646636,7.0,255.0
0.55866146,7.0,268.0
0.6148376,7.0,269.0
0.7032642,7.0,281.0
0.7087833,7.0,304.0
0.76859206,7.0,307.0
0.7090243,7.0,314.0
0.44037914,7.0,317.0
0.50277656,7.0,328.0
0.7117402,7.0,348.0
0.65616655,7.0,349.0
0.3859206,7.0,362.0
0.40038723,8.0,3.0
0.23875502,8.0,28.0
0.42732027,8.0,40.0
0.33925465,8.0,41.0
0.19611892,8.0,50.0
0.48950523,8.0,56.0
0.29067641,8.0,59.0
0.4175046,8.0,63.0
0.29751867,8.0,82.0
